Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15
395,39835,2,8,11,25,22,1,4,9,13,14,15,23,21,17,6
396,39839,3,2,9,1,5,10,15,13,22,7,6,24,20,18,11
397,39842,15,2,25,20,6,4,10,1,3,5,9,13,14,8,22
398,39846,13,22,10,3,9,16,12,20,5,7,18,4,21,2,8
399,39849,10,22,12,11,14,24,21,19,9,17,23,1,7,4,16
400,39853,12,20,23,24,15,1,9,22,10,19,17,14,16,21,5
401,39856,8,7,25,17,23,10,6,24,21,5,2,3,14,16,1
402,39860,9,6,21,22,20,1,11,7,8,23,2,4,25,24,16
403,39863,25,21,8,14,24,13,2,9,7,4,12,15,6,11,19
404,39870,21,8,14,1,6,13,20,11,18,16,24,25,22,5,10
405,39874,18,16,25,5,7,24,6,11,8,4,19,22,14,13,12
406,39877,16,9,5,1,2,8,24,4,22,21,11,7,10,17,23
407,39881,12,14,11,17,22,20,25,4,8,15,6,16,9,7,2
408,39884,20,1,14,12,18,3,21,22,11,4,2,10,15,23,19
409,39888,24,6,14,20,8,7,23,25,4,2,10,16,21,1,17
410,39891,5,17,1,4,8,15,19,18,7,10,25,9,14,13,11
411,39895,18,17,1,5,14,25,7,16,12,24,20,11,22,21,9
412,39898,18,20,21,12,4,11,3,22,19,17,25,10,9,8,16
413,39902,8,16,20,21,14,3,10,25,13,17,6,12,2,5,9
414,39905,3,16,19,15,6,5,20,11,18,25,21,10,8,2,9
415,39909,7,3,15,1,22,18,19,23,10,11,20,13,14,21,17
416,39912,13,20,6,19,23,25,15,5,18,22,24,1,2,7,16
417,39918,21,8,17,12,1,23,14,13,2,9,3,11,19,16,15
418,39919,5,19,20,22,11,9,14,8,10,12,24,25,13,18,23
419,39923,23,3,17,21,16,14,18,5,4,22,20,15,24,7,6
420,39926,22,11,3,19,9,5,4,24,10,25,12,18,8,7,6
421,39930,25,10,14,4,5,15,9,3,13,20,16,8,19,23,12
422,39933,25,7,22,3,8,18,14,17,1,23,4,12,13,6,2
423,39937,17,16,24,20,25,1,13,2,23,18,11,15,5,3,22
424,39940,6,11,13,24,10,1,15,18,25,16,9,3,17,14,19
425,39944,16,1,19,22,23,7,10,20,11,12,13,18,9,15,24
426,39947,6,15,16,24,19,11,25,3,5,10,4,18,2,22,8
427,39951,4,9,7,24,3,11,16,1,10,21,6,22,19,5,12
428,39954,13,17,4,14,1,20,18,24,23,11,22,15,19,3,21
429,39958,16,7,23,3,5,13,2,12,25,14,19,4,6,17,8
430,39961,5,14,2,20,15,7,25,13,22,6,4,23,9,11,3
431,39965,24,3,18,5,12,21,13,9,15,20,22,11,1,23,2
432,39968,10,15,13,6,21,12,2,17,7,20,3,23,4,19,24
433,39972,14,15,19,7,9,8,24,21,23,3,1,5,2,25,22
434,39976,21,12,3,15,17,11,13,16,4,9,23,6,25,24,18
435,39979,14,16,25,11,24,15,1,10,17,21,18,5,4,13,3
436,39982,20,3,15,25,7,23,4,6,21,19,13,10,14,18,22
437,39986,12,20,5,21,1,8,19,4,11,23,6,17,10,16,2
438,39989,21,18,7,23,13,8,9,1,15,17,11,24,22,25,4
439,39993,9,25,2,21,10,3,11,5,14,24,23,17,19,12,15
440,39996,12,1,14,19,3,13,15,21,5,22,25,24,16,8,9
441,40000,11,25,13,2,20,1,9,7,10,14,4,8,3,23,24
442,40003,22,6,12,23,8,5,18,25,14,15,17,24,9,13,7
443,40007,23,5,12,7,18,3,16,10,17,11,19,22,21,1,2
444,40010,2,7,22,18,19,20,25,3,21,1,15,6,10,14,24
445,40014,1,15,10,2,4,12,7,20,18,21,13,16,9,11,19
446,40017,1,8,4,15,6,11,14,16,24,5,19,21,10,23,2
447,40021,18,16,25,21,24,8,22,17,5,12,1,2,19,10,20
448,40024,10,17,20,5,12,23,1,6,15,13,24,3,14,9,11
449,40028,17,1,10,3,4,8,19,18,11,2,22,24,9,25,16
450,40031,24,22,11,14,5,9,16,7,4,21,23,18,17,25,6
451,40035,18,5,14,9,24,23,8,19,15,6,1,22,17,3,25
452,40038,18,14,20,9,17,24,12,19,25,10,11,1,6,8,7
453,40042,3,24,14,4,1,19,9,2,6,25,15,11,20,21,17
454,40045,12,6,4,24,20,17,22,19,25,3,13,11,15,7,14
455,40049,7,12,18,21,19,11,1,6,4,3,23,14,5,8,25
456,40052,23,12,14,4,11,24,25,9,13,17,3,10,1,18,21
457,40056,15,19,25,4,21,13,23,22,14,16,11,18,5,1,20
458,40059,22,6,13,9,4,20,3,15,8,5,2,7,18,16,11
459,40064,11,17,10,19,23,2,14,15,1,20,4,21,3,7,12
460,40066,4,9,10,1,19,15,23,11,22,17,16,12,14,6,3
461,40070,11,19,4,24,6,12,23,8,15,17,5,7,14,13,3
462,40073,18,3,7,23,17,24,21,1,8,14,5,22,16,2,12
463,40077,22,19,2,9,18,23,25,20,11,3,6,13,7,17,14
464,40080,5,25,17,2,8,21,1,23,22,16,24,19,20,10,11
465,40084,7,10,1,22,9,18,6,25,11,3,21,2,19,13,4
466,40087,6,12,17,8,20,14,10,19,25,2,22,11,7,18,21
467,40091,7,10,2,13,25,4,22,15,21,24,14,6,18,17,5
468,40094,15,9,18,17,5,13,2,6,10,21,25,3,24,22,12
469,40099,6,25,5,23,13,14,19,2,22,18,11,10,7,1,8
470,40101,20,6,7,18,22,23,13,5,15,4,1,8,3,11,10
471,40105,4,25,20,12,24,16,13,15,11,6,9,3,10,14,2
472,40108,13,6,11,2,12,1,14,7,20,8,4,17,18,15,5
473,40113,8,25,5,7,15,1,6,17,23,9,11,22,12,19,2
474,40115,3,11,10,23,16,17,21,15,12,2,5,9,1,18,24
475,40120,4,9,2,20,23,3,21,11,6,5,14,13,25,10,17
476,40122,6,1,13,5,10,7,24,17,9,19,16,15,14,25,11
477,40126,8,16,7,14,4,24,2,20,6,23,18,11,25,12,10
478,40129,11,2,22,9,10,13,24,23,7,12,5,16,25,3,18
479,40133,18,15,13,23,24,3,5,22,19,2,11,8,16,14,25
480,40136,22,7,6,24,11,8,9,12,4,25,19,18,5,17,15
481,40140,5,13,17,15,24,22,21,12,10,3,14,9,1,7,20
482,40143,25,17,15,2,21,8,10,9,22,12,6,23,7,19,16
483,40147,22,5,1,7,21,6,24,17,18,4,9,14,11,12,23
484,40150,8,4,16,20,23,14,6,13,1,11,9,17,21,10,25
485,40154,25,17,22,7,6,18,24,20,3,21,16,2,11,5,4
486,40157,4,15,13,20,19,2,22,9,7,5,11,3,18,1,21
487,40161,8,7,5,17,6,24,15,14,18,21,4,9,10,22,19
488,40164,8,7,5,13,24,14,6,20,17,15,25,22,18,12,11
489,40168,23,12,17,10,11,1,5,21,18,22,25,2,14,7,19
490,40171,10,21,12,23,17,5,13,16,14,8,22,6,18,3,11
491,40175,1,23,13,2,16,11,3,7,25,24,9,21,22,12,20
492,40178,15,3,11,1,12,8,24,6,2,4,14,21,19,25,18
493,40182,22,13,25,15,17,12,1,5,14,18,7,4,21,10,8
494,40185,12,4,7,3,20,13,5,18,8,19,16,15,21,22,2
495,40189,1,9,24,3,7,6,13,11,8,25,17,22,4,15,19
496,40192,19,11,21,22,17,14,5,16,7,9,24,13,15,4,3
497,40196,2,16,4,5,25,17,11,9,3,8,12,14,1,23,19
498,40199,11,14,20,5,16,2,23,13,22,4,15,1,6,25,18
499,40203,19,7,3,2,25,12,24,10,1,11,20,15,17,4,21
500,40206,25,16,2,5,13,21,23,8,18,6,14,3,10,20,9
501,40210,18,3,25,17,21,23,2,12,19,4,15,9,24,6,1
502,40213,23,2,10,5,19,13,4,3,16,1,6,8,24,11,18
503,40217,1,2,14,12,3,17,5,7,20,25,11,15,21,24,4
504,40220,16,15,20,10,17,13,18,14,9,21,12,19,1,23,6
505,40222,3,6,19,24,16,21,17,15,22,7,18,11,20,4,9
506,40227,21,20,19,4,11,9,15,12,6,16,24,17,22,5,13
507,40231,8,24,9,11,3,20,21,1,6,10,23,5,2,12,25
508,40234,14,15,19,8,5,2,7,9,3,25,6,16,24,18,23
509,40238,20,11,17,1,3,24,15,9,25,5,12,6,19,16,22
510,40241,23,3,21,4,20,7,6,13,25,1,22,10,11,12,2
511,40245,24,13,11,17,25,5,12,19,1,21,18,14,10,7,2
512,40249,9,2,12,15,16,5,24,6,21,7,1,4,10,8,13
513,40252,15,20,18,17,22,2,23,3,1,9,10,13,25,11,6
514,40255,1,7,24,25,8,11,22,17,9,12,15,5,6,18,21
515,40259,11,18,14,5,3,17,7,20,25,9,10,2,13,24,12
516,40262,8,7,23,11,21,4,20,6,18,5,14,24,12,2,13
517,40266,9,21,7,23,12,17,11,3,13,22,8,1,4,6,5
518,40269,19,13,11,20,14,17,24,10,5,16,12,6,4,7,22
519,40273,23,9,17,19,24,16,3,12,15,11,7,25,13,2,21
520,40276,15,12,24,10,14,4,18,6,5,22,20,9,2,23,19
521,40280,19,9,5,17,12,11,2,10,6,23,4,20,13,1,3
522,40283,16,25,11,6,19,22,23,4,2,21,7,9,17,18,24
523,40287,2,19,11,13,4,8,16,25,24,17,12,5,9,10,18
524,40290,3,11,7,22,5,2,17,23,20,24,12,6,14,10,21
525,40294,4,9,3,25,15,21,17,16,20,22,18,6,10,13,11
526,40297,4,8,24,12,7,10,1,15,2,25,9,11,16,19,14
527,40301,11,5,14,2,6,9,22,23,12,19,15,24,1,16,17
528,40304,6,23,10,4,12,15,7,24,11,25,2,19,3,21,8
529,40308,23,16,25,7,19,5,18,3,20,17,22,11,6,2,12
530,40311,11,16,10,3,8,23,14,9,18,4,7,6,12,21,22
531,40315,14,3,12,21,1,15,23,25,22,7,16,17,10,13,2
532,40318,24,7,2,9,15,6,16,5,19,12,1,11,22,4,13
533,40322,20,10,8,24,25,18,13,16,9,1,11,17,2,3,14
534,40325,3,24,2,22,5,18,7,1,19,8,12,21,11,13,15
535,40329,1,25,13,4,5,24,23,11,15,19,21,16,9,6,17
536,40333,3,19,16,4,20,11,17,9,15,22,23,5,25,24,7
537,40336,10,18,6,24,11,17,22,23,15,4,2,9,14,1,20
538,40339,12,16,6,18,10,24,19,20,13,17,11,25,21,5,2
539,40343,12,4,5,16,6,14,2,13,8,1,21,9,15,23,19
540,40346,13,11,12,7,18,16,9,22,15,24,19,20,2,6,8
541,40350,9,3,20,17,19,10,22,6,4,13,25,14,5,24,15
542,40353,18,13,8,2,4,17,22,10,24,5,9,16,1,3,20
543,40357,7,20,15,1,13,17,25,24,14,16,22,11,8,10,5
544,40360,18,19,9,21,5,8,7,4,2,14,15,13,11,24,23
545,40364,18,24,1,23,13,12,11,5,25,7,6,14,15,17,3
546,40367,5,17,10,4,9,13,3,19,18,12,21,8,11,2,23
547,40371,25,14,9,10,6,5,17,20,4,1,2,12,24,19,16
548,40374,20,23,6,13,9,14,3,4,1,2,7,25,5,8,17
549,40378,22,10,20,14,13,9,7,3,4,15,17,16,21,23,11
550,40381,16,22,14,13,11,1,9,21,17,6,10,5,18,20,7
551,40385,10,12,20,19,13,18,24,16,21,14,8,22,3,7,17
552,40388,1,24,22,4,8,13,17,20,6,10,25,12,3,5,23
553,40392,10,23,21,7,14,15,17,8,12,4,5,24,13,18,9
554,40395,13,3,22,4,25,20,19,6,9,24,21,17,2,14,1
555,40399,7,24,16,1,2,17,14,8,10,20,12,6,9,23,18
556,40402,8,11,18,20,25,1,4,9,22,23,14,13,16,17,24
557,40406,7,18,12,9,8,21,14,5,17,15,23,10,20,19,1
558,40409,14,7,25,5,24,4,20,17,21,3,18,22,12,10,1
559,40413,19,14,16,1,7,11,5,10,21,23,2,20,22,13,9
560,40416,1,4,18,21,23,25,12,24,10,19,9,20,2,14,17
561,40420,7,12,15,6,2,3,17,9,11,21,10,20,4,13,18
562,40423,3,22,16,8,13,14,24,5,18,21,20,1,7,19,2
563,40427,6,20,12,3,1,4,23,5,9,19,7,22,16,24,11
564,40430,9,19,3,14,24,12,15,21,17,23,7,4,1,20,2
565,40434,24,6,7,12,21,1,9,17,18,4,20,15,19,10,23
566,40437,5,20,16,4,1,9,7,17,3,14,15,21,11,19,10
567,40441,1,14,10,5,15,9,25,12,13,2,7,17,24,21,8
568,40444,15,16,4,9,13,6,1,20,5,18,17,7,8,21,2
569,40448,19,25,7,6,18,17,12,16,13,1,2,8,22,24,20
570,40451,20,10,18,21,14,5,2,1,15,12,22,23,4,19,3
571,40455,25,3,11,15,5,24,12,6,19,4,20,18,7,16,21
572,40458,21,5,15,13,16,9,22,10,19,14,6,17,8,2,24
573,40462,11,24,22,2,20,10,14,1,7,3,12,23,18,25,16
574,40465,6,19,20,16,18,25,14,12,22,1,21,11,13,23,5
575,40469,15,21,3,16,13,5,8,24,9,22,19,12,17,10,18
576,40472,15,21,25,6,12,10,8,13,18,16,19,17,9,23,11
577,40476,8,16,15,4,3,2,22,10,19,1,23,5,21,18,12
578,40479,10,8,21,19,22,6,16,4,23,7,15,12,1,14,13
579,40483,6,7,14,24,17,20,19,13,10,1,8,21,3,5,12
580,40486,6,21,13,12,8,7,16,10,9,25,1,4,17,14,24
581,40490,11,19,4,9,18,23,13,21,2,25,14,6,12,17,15
582,40493,12,8,18,17,25,23,3,10,7,19,21,9,15,13,11
583,40498,11,4,7,17,14,19,18,1,9,23,3,16,21,24,8
584,40500,7,21,23,14,6,10,2,5,11,19,22,20,8,3,15
585,40504,1,8,13,17,14,15,20,16,18,24,9,23,7,5,10
586,40507,25,7,12,4,24,18,11,17,6,3,19,22,8,16,2
587,40511,1,5,13,21,20,19,7,18,23,11,17,10,9,4,12
588,40514,25,17,4,14,5,11,18,19,23,12,24,1,7,13,20
589,40518,4,25,21,23,13,6,12,9,10,3,2,24,8,22,20
590,40521,9,20,15,6,16,19,11,3,1,13,10,21,4,18,14
591,40525,20,7,2,16,14,11,8,21,17,19,1,10,23,4,15
592,40528,19,16,18,22,20,5,8,17,1,9,3,14,15,6,10
593,40532,23,24,15,14,6,10,11,25,13,3,4,5,1,9,20
594,40535,11,2,23,18,25,20,7,14,13,16,9,6,15,3,10
595,40539,6,8,7,21,17,19,25,10,24,15,12,11,5,1,9
596,40542,11,19,8,10,25,22,20,12,17,7,23,9,3,18,2
597,40546,5,1,14,16,8,3,17,10,25,2,18,9,11,22,24
598,40549,5,14,3,19,1,7,12,18,22,25,11,21,15,4,20
599,40553,12,5,24,16,9,20,2,23,21,13,6,18,7,22,4
600,40556,9,11,25,17,16,18,10,19,5,6,8,22,1,23,3
601,40560,12,9,13,10,25,16,14,3,20,1,7,19,11,5,6
602,40563,9,18,25,12,5,7,10,1,8,6,11,2,23,22,13
603,40567,8,6,23,13,22,12,19,20,2,15,4,21,16,5,10
604,40570,15,1,7,25,9,12,13,18,14,2,24,22,6,19,20
605,40574,5,21,25,2,18,4,14,23,7,11,3,13,16,17,10
606,40577,3,25,14,16,6,2,18,8,22,12,24,10,7,23,15
607,40581,20,19,16,17,25,9,22,24,12,21,15,3,18,5,7
608,40584,19,13,10,18,25,23,1,14,8,3,16,7,5,2,17
609,40588,23,14,19,4,11,1,7,16,20,12,9,2,25,15,10
610,40591,10,22,2,16,13,1,25,21,14,7,15,4,6,8,12
611,40595,13,6,18,4,16,8,2,3,14,9,23,5,21,19,20
612,40598,9,23,2,15,3,10,25,7,18,1,19,6,17,13,16
613,40602,2,10,5,13,7,22,6,25,20,23,16,12,11,14,17
614,40605,16,1,18,6,22,5,12,9,7,11,20,19,17,23,13
615,40607,19,7,11,17,1,8,2,23,4,20,24,22,25,21,12
616,40612,9,6,16,15,1,22,2,25,21,18,10,17,24,12,19
617,40616,14,3,19,22,24,21,4,2,15,5,25,10,16,7,1
618,40619,2,22,4,12,9,1,20,7,19,6,5,21,24,17,13
619,40623,19,21,8,17,14,3,1,7,18,9,13,20,25,4,23
620,40626,10,16,18,21,14,7,6,12,20,1,5,11,15,22,19
621,40630,3,2,9,25,16,22,5,10,24,8,12,20,15,6,1
622,40633,3,13,17,5,7,11,10,15,6,9,2,4,21,18,12
623,40637,2,11,5,15,8,3,20,10,1,4,9,23,25,12,22
624,40640,24,18,5,7,4,21,2,20,12,11,17,1,9,6,16
625,40644,3,14,23,16,24,13,6,15,11,2,10,8,17,22,1
626,40647,9,2,11,7,24,8,19,5,17,13,1,3,23,21,4
627,40651,23,25,6,10,2,17,1,14,15,3,21,4,22,12,24
628,40653,19,10,13,7,8,18,2,25,9,4,22,15,3,11,23
629,40658,7,21,12,17,25,1,2,14,9,19,6,5,15,22,4
630,40661,6,22,20,13,2,17,18,7,24,12,1,14,25,4,23
631,40665,16,2,10,17,9,3,13,18,14,20,7,21,19,8,5
632,40668,24,10,13,6,16,25,11,21,8,22,17,14,1,20,4
633,40672,22,2,8,7,12,23,20,24,6,3,25,9,21,10,18
634,40675,21,9,15,20,5,22,3,19,12,4,10,18,2,11,14
635,40679,1,4,11,19,5,8,18,9,24,7,13,6,20,22,12
636,40682,3,1,4,13,6,21,19,20,25,12,10,16,23,14,2
637,40686,18,2,9,7,25,19,22,13,6,4,20,23,16,17,21
638,40689,2,3,18,4,21,24,14,13,19,9,11,1,16,23,25
639,40693,21,22,12,4,10,8,6,19,2,16,9,20,1,5,24
640,40696,1,16,9,21,14,3,18,4,22,5,23,20,11,19,13
641,40700,11,2,18,19,24,16,9,21,22,6,13,3,7,8,20
642,40703,18,13,8,10,12,25,2,5,21,20,1,4,11,19,22
643,40707,24,10,19,8,16,13,2,9,17,7,21,22,4,23,1
644,40710,12,9,6,21,7,5,18,24,8,13,15,14,3,2,22
645,40714,25,19,23,21,4,11,16,20,9,22,10,8,13,18,5
646,40718,1,17,23,6,25,15,5,3,9,21,18,19,14,10,20
647,40721,19,9,14,20,22,18,6,23,4,8,11,7,17,13,25
648,40724,20,8,9,22,13,19,2,21,6,10,15,16,4,11,18
649,40728,1,14,2,11,17,24,9,8,6,21,15,4,5,10,22
650,40731,16,19,24,1,25,14,13,23,8,3,20,10,21,17,7
651,40735,13,5,15,10,14,25,18,6,4,20,1,24,8,17,19
652,40738,17,7,2,21,20,13,19,5,9,16,11,14,10,23,18
653,40742,16,3,20,1,19,17,22,13,12,23,14,21,7,8,2
654,40745,25,20,12,13,16,3,7,19,22,17,14,1,2,18,23
655,40749,20,13,21,19,11,25,5,14,8,2,15,7,24,10,23
656,40752,3,18,8,14,15,5,22,9,20,7,25,11,23,2,13
657,40756,13,25,19,17,8,23,5,15,2,10,4,6,24,12,3
658,40759,6,4,17,7,23,24,14,25,9,21,11,15,1,5,10
659,40763,23,3,8,12,10,24,6,9,20,1,15,11,4,5,19
660,40766,17,5,15,16,4,9,3,7,6,12,19,24,14,8,25
661,40770,1,7,20,22,3,15,24,6,23,17,10,19,18,11,12
662,40773,7,14,13,2,8,15,1,9,6,3,19,16,22,11,20
663,40777,13,4,21,19,2,6,24,17,9,16,22,5,23,11,7
664,40780,18,15,1,23,24,20,7,21,13,3,10,16,4,17,14
665,40784,21,3,13,2,17,7,15,22,24,14,20,6,18,12,25
666,40787,12,24,11,6,7,14,4,16,1,25,2,18,15,20,21
667,40791,13,15,10,4,17,25,8,6,24,3,20,19,21,18,5
668,40794,11,25,15,1,13,9,20,24,23,10,17,7,12,16,2
669,40799,15,16,25,19,2,23,4,5,22,6,18,17,12,13,24
670,40801,1,18,21,20,14,7,25,10,22,15,8,12,23,17,13
671,40805,10,9,18,20,8,13,5,19,12,11,7,4,14,22,24
672,40808,11,21,24,19,4,10,15,1,9,2,6,17,23,12,25
673,40812,2,17,4,15,10,13,11,9,12,14,20,8,5,19,7
674,40815,10,3,14,11,23,2,16,22,20,24,18,19,25,15,8
675,40819,13,7,5,2,11,22,23,15,4,17,24,14,3,10,16
676,40822,25,15,19,24,6,12,21,16,5,8,13,4,10,2,20
677,40826,16,12,2,19,25,10,6,1,13,7,5,8,15,23,11
678,40829,23,2,19,18,3,15,20,12,9,5,21,7,10,25,24
679,40833,22,11,10,17,15,14,20,2,21,13,19,8,12,7,18
680,40836,3,6,8,9,19,13,21,4,18,12,20,7,22,16,14
681,40840,4,18,6,14,15,16,23,11,19,2,8,7,3,10,12
682,40843,4,18,22,24,19,25,14,2,1,17,5,11,8,7,6
683,40847,8,15,6,12,9,5,1,4,13,23,10,24,2,7,11
684,40850,4,8,22,25,1,13,24,20,14,21,11,12,5,10,16
685,40854,20,22,1,25,15,4,12,23,3,21,9,19,13,17,24
686,40857,20,1,6,12,3,24,16,4,13,19,7,10,22,25,23
687,40861,18,19,13,20,23,1,6,3,24,15,12,25,4,2,9
688,40864,21,23,7,1,4,14,3,19,2,24,9,12,22,16,11
689,40868,11,23,13,8,17,7,4,24,2,3,12,5,15,22,6
690,40871,3,15,24,12,20,1,10,14,25,13,9,2,18,19,11
691,40875,22,1,20,6,7,17,9,8,23,3,18,11,19,13,2
692,40878,4,22,17,12,10,11,24,23,18,2,6,19,1,7,21
693,40882,6,14,17,7,1,4,2,11,9,22,19,3,10,16,21
694,40885,3,16,15,11,10,6,21,8,14,1,9,24,19,18,20
695,40889,24,22,13,3,5,21,17,18,19,20,4,11,2,25,14
696,40892,5,20,15,4,9,7,22,13,24,16,11,21,1,10,14
697,40896,3,7,24,19,8,1,11,23,22,14,16,15,2,25,18
698,40899,4,6,12,22,7,21,20,9,15,3,14,24,10,18,2
699,40903,22,18,3,8,4,21,19,6,2,25,23,10,9,16,15
700,40906,10,21,25,1,22,18,13,2,16,6,7,14,8,19,9
701,40910,17,4,20,21,16,10,19,13,12,3,22,23,25,14,8
702,40913,4,14,25,8,23,5,13,3,1,10,2,7,20,6,9
703,40917,8,24,15,23,2,18,11,21,25,20,17,14,22,5,10
704,40920,15,17,8,16,11,24,14,22,5,23,2,13,6,3,10
705,40924,15,21,22,20,12,9,6,14,11,25,7,8,16,3,4
706,40927,22,18,21,16,8,1,25,12,19,24,3,13,6,2,4
707,40931,25,8,11,20,16,7,3,24,17,12,21,15,14,4,6
708,40934,1,19,14,6,2,16,21,3,24,5,11,25,4,9,22
709,40938,6,8,20,12,11,7,14,18,3,1,22,15,16,19,23
710,40941,19,3,17,14,20,25,21,6,4,18,15,12,24,2,22
711,40945,2,12,18,21,6,4,1,24,10,22,16,5,15,7,13
712,40947,9,4,20,18,17,16,8,15,22,21,23,12,1,25,14
713,40949,23,11,22,6,2,13,15,21,25,5,14,3,19,4,24
714,40952,13,17,7,19,6,10,21,12,15,14,4,11,8,9,22
715,40954,8,15,24,5,20,18,3,25,13,11,22,1,23,10,14
716,40956,21,23,11,18,7,3,12,16,8,20,14,15,25,1,5
717,40961,5,9,18,21,23,2,1,14,11,8,7,20,16,3,25
718,40963,22,19,3,14,4,24,9,13,21,11,23,25,7,15,17
719,40966,18,11,22,24,10,2,15,16,9,23,13,25,8,7,19
720,40969,4,9,17,16,12,24,7,23,13,18,10,20,11,25,21
721,40970,5,21,15,14,3,9,12,7,19,10,11,8,4,2,1
722,40973,7,1,23,19,6,8,5,20,3,14,10,17,24,13,16
723,40975,3,14,9,8,20,11,4,5,7,15,24,2,12,10,18
724,40977,7,6,20,12,23,14,18,10,19,1,25,3,24,15,5
725,40980,5,17,13,1,21,16,15,24,7,6,18,10,9,25,12
726,40982,10,16,20,25,21,7,13,11,24,2,15,4,9,1,14
727,40984,25,8,23,3,24,16,11,20,6,21,9,18,22,7,4
728,40987,13,23,11,7,25,16,6,20,10,19,8,22,21,3,4
729,40989,10,2,14,12,9,22,6,3,25,15,23,17,1,7,4
730,40991,22,24,21,19,4,1,20,12,18,16,8,11,3,14,25
731,40994,4,7,18,8,6,21,24,14,22,17,3,12,15,19,11
732,40996,25,14,1,11,13,24,20,8,23,9,10,4,22,17,21
733,40998,8,18,11,14,4,22,1,16,24,20,7,5,12,6,19
734,41001,24,15,2,3,19,20,23,8,9,21,13,17,6,18,10
735,41003,8,20,22,5,11,24,13,21,19,14,12,25,17,10,6
736,41006,4,10,2,17,13,15,21,9,3,23,8,16,6,19,5
737,41008,3,7,18,4,16,25,5,10,22,2,12,6,17,14,8
738,41010,25,23,13,6,14,11,16,18,9,7,2,24,19,20,12
739,41012,11,25,14,2,22,20,8,9,10,17,3,21,4,23,24
740,41015,10,21,11,13,24,9,5,22,4,1,19,12,25,14,23
741,41017,18,3,14,12,24,5,21,11,2,7,17,13,10,25,16
742,41019,23,20,1,7,6,5,14,21,8,11,3,15,13,9,19
743,41022,12,11,3,10,2,24,14,17,1,15,21,6,9,22,23
744,41024,9,3,4,12,10,13,6,16,11,1,19,23,7,15,24
745,41026,7,1,17,12,16,24,8,9,3,6,11,20,22,25,13
746,41029,16,18,9,8,25,17,10,24,2,20,21,19,4,3,5
747,41031,24,4,10,23,12,15,7,20,2,13,6,16,17,1,3
748,41033,4,18,23,17,9,15,5,6,10,12,21,20,8,3,1
749,41036,24,2,7,8,18,11,6,22,14,13,1,4,19,15,3
750,41038,9,3,2,20,25,4,13,7,10,19,5,21,11,15,24
751,41040,14,17,20,23,13,12,6,3,9,16,22,5,8,19,21
752,41043,13,6,24,21,19,14,16,8,12,1,25,4,18,7,5
753,41045,7,3,11,1,22,8,5,13,21,14,6,4,17,25,20
754,41047,1,19,5,16,4,20,15,18,24,7,23,22,17,13,25
755,41050,14,24,3,5,25,11,17,2,7,8,13,1,10,16,12
756,41052,15,17,3,20,14,13,8,25,5,6,10,16,22,7,23
757,41054,4,10,11,1,21,20,9,14,17,18,3,23,8,13,15
758,41057,15,18,24,4,5,6,17,16,11,2,20,12,1,25,23
759,41059,20,23,8,16,25,7,5,17,15,18,24,19,2,9,10
760,41061,11,24,2,15,9,25,3,12,13,10,7,1,23,16,17
761,41064,15,11,4,6,1,19,16,13,20,14,12,24,5,10,22
762,41066,7,11,21,13,22,2,1,10,17,3,9,12,5,6,14
763,41068,18,16,21,1,14,25,13,3,6,7,24,4,2,17,22
764,41071,25,4,1,8,23,17,19,3,24,9,11,14,6,16,12
765,41073,14,23,13,25,12,1,2,18,3,9,20,10,7,24,8
766,41075,24,25,12,9,21,15,7,5,16,3,6,14,13,1,18
767,41078,1,11,15,12,5,8,22,24,17,19,23,4,3,7,10
768,41080,11,3,23,19,25,15,6,12,17,20,14,24,5,1,13
769,41082,5,11,4,23,22,16,15,25,7,13,17,10,3,19,20
770,41085,17,12,4,24,1,3,18,6,25,11,22,16,5,9,21
771,41087,20,7,22,25,2,4,6,9,5,23,8,14,17,10,16
772,41089,16,2,12,20,7,6,9,25,15,8,11,24,10,4,23
773,41092,6,18,20,15,8,17,7,10,2,25,22,11,13,24,5
774,41094,19,11,14,6,1,15,18,12,3,8,22,9,4,5,25
775,41096,6,17,12,2,18,10,20,3,16,13,19,8,7,14,9
776,41099,10,24,22,14,2,18,13,4,23,12,1,11,20,3,19
777,41101,21,15,9,25,2,11,14,12,24,3,6,13,20,23,16
778,41103,11,15,20,10,6,9,7,19,24,2,13,25,16,5,22
779,41106,16,20,19,21,14,23,5,13,8,9,22,12,4,17,11
780,41108,21,20,15,8,13,17,16,3,19,24,6,7,18,25,10
781,41110,11,1,2,22,10,25,9,15,4,19,16,8,14,20,17
782,41113,18,13,5,14,20,12,10,17,21,15,19,16,11,9,8
783,41115,20,16,1,8,19,7,2,5,6,13,24,15,22,11,21
784,41117,1,12,2,20,23,13,15,4,21,11,3,7,22,18,25
785,41120,12,11,13,1,17,10,23,15,6,7,4,19,16,21,2
786,41122,21,15,23,24,5,11,8,25,6,10,17,2,4,13,12
787,41124,8,4,10,12,16,1,5,14,9,20,17,19,13,11,23
788,41127,3,12,4,11,24,9,1,22,16,21,25,19,23,8,10
789,41129,18,12,15,3,22,14,8,19,11,2,24,10,21,4,16
790,41131,8,3,7,12,16,10,19,23,18,20,22,13,25,24,6
791,41134,11,8,1,7,2,23,14,22,3,10,21,25,6,13,5
